curr time	start	end	position
0:14	225	86	0
0:15	225	86	1.07823
0:16	225	86	2.15646
0:17	225	86	3.23469
0:18	225	86	4.31292
0:19	225	86	5.39114
0:20	225	86	6.46937
0:21	225	86	7.5476
0:22	225	86	8.62583
0:23	225	86	9.70406
0:24	225	86	10.7823
0:25	225	86	11.8605
0:26	225	86	12.9387
0:27	225	86	14.017
0:28	225	86	15.0952
0:29	225	86	16.1734
0:30	225	86	17.2517
0:31	225	86	18.3299
0:32	225	86	19.4081
0:33	225	86	20.4863
0:34	225	86	21.5646
0:35	225	86	22.6428
0:36	225	86	23.721
0:37	225	86	24.7993
0:38	225	86	25.8775
0:39	225	86	26.9557
0:40	225	86	28.034
0:41	225	86	29.1122
0:42	225	86	30.1904
0:43	225	86	31.2686
0:44	225	86	32.3469
0:45	225	86	33.4251
0:46	225	86	34.5033
0:47	225	86	35.5816
0:48	225	86	36.6598
0:49	225	86	37.738
0:50	225	86	38.8162
0:51	225	86	39.8945
0:52	225	86	40.9727
0:53	225	86	42.0509
0:54	225	86	43.1292
0:55	225	86	44.2074
0:56	225	86	45.2856
0:57	225	86	46.3638
0:58	225	86	47.4421
0:59	225	86	48.5203
1:0	225	86	49.5985
1:1	225	86	50.6768
1:2	225	86	51.755
1:3	225	86	52.8332
1:4	225	86	53.9114
1:5	225	86	54.9897
1:6	225	86	56.0679
1:7	225	86	57.1461
1:8	225	86	58.2244
1:9	225	86	59.3026
1:10	225	86	60.3808
1:11	225	86	61.459
1:12	225	86	62.5373
1:13	225	86	63.6155
1:14	225	86	64.6937
1:15	225	86	65.772
1:16	225	86	66.8502
1:17	225	86	67.9284
1:18	225	86	69.0066
1:19	225	86	70.0849
1:20	225	86	71.1631
1:21	225	86	72.2413
1:22	225	86	73.3196
1:23	225	86	74.3978
1:24	225	86	75.476
1:25	225	86	76.5542
1:26	225	86	77.6325
1:27	225	86	78.7107
1:28	225	86	79.7889
1:29	225	86	80.8672
1:30	225	86	81.9454
1:31	225	86	83.0236
1:32	225	86	84.1019
1:33	225	86	85.1801
1:34	225	86	86.2583
1:35	225	86	87.3365
1:36	225	86	88.4148
1:37	225	86	89.493
1:38	225	86	90.5712
1:39	225	86	91.6495
1:40	225	86	92.7277
1:41	225	86	93.8059
1:42	225	86	94.8841
1:43	225	86	95.9624
1:44	225	86	97.0406
1:45	225	86	98.1188
1:46	225	86	99.1971
1:47	225	86	100.275
1:48	225	86	101.354
1:49	225	86	102.432
1:50	225	86	103.51
1:51	225	86	104.588
1:52	225	86	105.666
1:53	225	86	106.745
1:54	225	86	107.823
1:55	225	86	108.901
1:56	225	86	109.979
1:57	225	86	111.058
1:58	225	86	112.136
1:59	225	86	113.214
2:0	225	86	114.292
2:1	225	86	115.37
2:2	225	86	116.449
2:3	225	86	117.527
2:4	225	86	118.605
2:5	225	86	119.683
2:6	225	86	120.762
2:7	225	86	121.84
2:8	225	86	122.918
2:9	225	86	123.996
2:10	225	86	125.075
2:11	225	86	126.153
2:12	225	86	127.231
2:13	225	86	128.309
2:14	225	86	129.387
2:15	225	86	130.466
2:16	225	86	131.544
2:17	225	86	132.622
2:18	225	86	133.7
2:19	225	86	134.779
2:20	225	86	135.857
2:21	225	86	136.935
2:22	225	86	138.013
2:23	225	86	139.092
2:24	225	86	140.17
2:25	225	86	141.248
2:26	225	86	142.326
2:27	225	86	143.404
2:28	225	86	144.483
2:29	225	86	145.561
2:30	225	86	146.639
2:31	225	86	147.717
2:32	225	86	148.796
2:33	225	86	149.874
2:34	225	86	150.952
2:35	225	86	152.03
2:36	225	86	153.108
2:37	225	86	154.187
2:38	225	86	155.265
2:39	225	86	156.343
2:40	225	86	157.421
2:41	225	86	158.5
2:42	225	86	159.578
2:43	225	86	160.656
2:44	225	86	161.734
2:45	225	86	162.813
2:46	225	86	163.891
2:47	225	86	164.969
2:48	225	86	166.047
2:49	225	86	167.125
2:50	225	86	168.204
2:51	225	86	169.282
2:52	225	86	170.36
2:53	225	86	171.438
2:54	225	86	172.517
2:55	225	86	173.595
2:56	225	86	174.673
2:57	225	86	175.751
2:58	225	86	176.83
2:59	86	87	0
3:0	86	87	1.07823
3:1	86	87	2.15646
3:2	86	87	3.23469
3:3	86	87	4.31292
3:4	86	87	5.39114
3:5	86	87	6.46937
3:6	86	87	7.5476
3:7	86	87	8.62583
3:8	86	87	9.70406
3:9	86	87	10.7823
3:10	86	87	11.8605
3:11	86	87	12.9387
3:12	86	87	14.017
3:13	86	87	15.0952
3:14	86	87	16.1734
3:15	86	87	17.2517
3:16	86	87	18.3299
3:17	86	87	19.4081
3:18	86	87	20.4863
3:19	86	87	21.5646
3:20	86	87	22.6428
3:21	86	87	23.721
3:22	86	87	24.7993
3:23	86	87	25.8775
3:24	86	87	26.9557
3:25	86	87	28.034
3:26	86	87	29.1122
3:27	86	87	30.1904
3:28	86	87	31.2686
3:29	86	87	32.3469
3:30	86	87	33.4251
3:31	86	87	34.5033
3:32	86	87	35.5816
3:33	86	87	36.6598
3:34	86	87	37.738
3:35	86	87	38.8162
3:36	86	87	39.8945
3:37	86	87	40.9727
3:38	86	87	42.0509
3:39	86	87	43.1292
3:40	86	87	44.2074
3:41	86	87	45.2856
3:42	86	87	46.3638
3:43	86	87	47.4421
3:44	86	87	48.5203
3:45	86	87	49.5985
3:46	86	87	50.6768
3:47	86	87	51.755
3:48	86	87	52.8332
3:49	86	87	53.9114
3:50	86	87	54.9897
3:51	86	87	56.0679
3:52	86	87	57.1461
3:53	86	87	58.2244
3:54	86	87	59.3026
3:55	86	87	60.3808
3:56	86	87	61.459
3:57	86	87	62.5373
3:58	86	87	63.6155
3:59	86	87	64.6937
4:0	86	87	65.772
4:1	86	87	66.8502
4:2	86	87	67.9284
4:3	86	87	69.0066
4:4	86	87	70.0849
4:5	86	87	71.1631
4:6	86	87	72.2413
4:7	86	87	73.3196
4:8	86	87	74.3978
4:9	86	87	75.476
4:10	86	87	76.5542
4:11	86	87	77.6325
4:12	86	87	78.7107
4:13	86	87	79.7889
4:14	86	87	80.8672
4:15	86	87	81.9454
4:16	87	1509	0
4:17	87	1509	1.07823
4:18	87	1509	2.15646
4:19	87	1509	3.23469
4:20	87	1509	4.31292
4:21	87	1509	5.39114
4:22	87	1509	6.46937
4:23	87	1509	7.5476
