curr time	start	end	position
0:2	1286	909	0
0:3	1286	909	7.28037
0:4	1286	909	14.5607
0:5	1286	909	21.8411
0:6	1286	909	29.1215
0:7	1286	909	36.4018
0:8	1286	909	43.6822
0:9	1286	909	50.9626
0:10	1286	909	58.2429
0:11	1286	909	65.5233
0:12	1286	909	72.8037
0:13	1286	909	80.084
0:14	1286	909	87.3644
0:15	1286	909	94.6447
0:16	1286	909	101.925
0:17	1286	909	109.205
0:18	1286	909	116.486
0:19	1286	909	123.766
0:20	1286	909	131.047
0:21	1286	909	138.327
0:22	1286	909	145.607
0:23	1286	909	152.888
0:24	1286	909	160.168
0:25	1286	909	167.448
0:26	1286	909	174.729
0:27	1286	909	182.009
0:28	1286	909	189.289
0:29	1286	909	196.57
0:30	1286	909	203.85
0:31	1286	909	211.131
0:32	1286	909	218.411
0:33	1286	909	225.691
0:34	1286	909	232.972
0:35	1286	909	240.252
0:36	1286	909	247.532
0:37	1286	909	254.813
0:38	1286	909	262.093
0:39	1286	909	269.374
0:40	1286	909	276.654
0:41	1286	909	283.934
0:42	1286	909	291.215
0:43	1286	909	298.495
0:44	1286	909	305.775
0:45	1286	909	313.056
0:46	1286	909	320.336
0:47	1286	909	327.616
0:48	1286	909	334.897
0:49	1286	909	342.177
0:50	1286	909	349.458
0:51	1286	909	356.738
0:52	1286	909	364.018
0:53	1286	909	371.299
0:54	1286	909	378.579
0:55	1286	909	385.859
0:56	1286	909	393.14
0:57	1286	909	400.42
0:58	1286	909	407.7
0:59	1286	909	414.981
1:0	1286	909	422.261
1:1	1286	909	429.542
1:2	1286	909	436.822
1:3	1286	909	444.102
1:4	1286	909	451.383
1:5	1286	909	458.663
1:6	1286	909	465.943
1:7	1286	909	473.224
1:8	1286	909	480.504
1:9	1286	909	487.784
1:10	1286	909	495.065
1:11	1286	909	502.345
1:12	1286	909	509.626
1:13	1286	909	516.906
1:14	1286	909	524.186
1:15	1286	909	531.467
1:16	1286	909	538.747
1:17	1286	909	546.027
1:18	1286	909	553.308
1:19	1286	909	560.588
1:20	1286	909	567.868
1:21	1286	909	575.149
1:22	1286	909	582.429
1:23	1286	909	589.71
1:24	1286	909	596.99
1:25	1286	909	604.27
1:26	1286	909	611.551
1:27	1286	909	618.831
1:28	1286	909	626.111
1:29	1286	909	633.392
1:30	1286	909	640.672
1:31	1286	909	647.952
1:32	1286	909	655.233
1:33	1286	909	662.513
1:34	1286	909	669.794
1:35	1286	909	677.074
1:36	1286	909	684.354
1:37	1286	909	691.635
1:38	1286	909	698.915
1:39	1286	909	706.195
1:40	1286	909	713.476
1:41	1286	909	720.756
1:42	1286	909	728.037
1:43	1286	909	735.317
1:44	1286	909	742.597
1:45	1286	909	749.878
1:46	1286	909	757.158
1:47	1286	909	764.438
1:48	1286	909	771.719
1:49	1286	909	778.999
1:50	1286	909	786.279
1:51	1286	909	793.56
1:52	1286	909	800.84
1:53	1286	909	808.121
1:54	1286	909	815.401
1:55	1286	909	822.681
1:56	1286	909	829.962
1:57	1286	909	837.242
1:58	1286	909	844.522
1:59	1286	909	851.803
2:0	1286	909	859.083
2:1	1286	909	866.363
2:2	1286	909	873.644
2:3	1286	909	880.924
2:4	1286	909	888.205
2:5	1286	909	895.485
2:6	1286	909	902.765
2:7	1286	909	910.046
2:8	1286	909	917.326
2:9	909	911	0
2:10	909	911	7.28037
2:11	909	911	14.5607
2:12	909	911	21.8411
2:13	909	911	29.1215
2:14	909	911	36.4018
2:15	909	911	43.6822
2:16	909	911	50.9626
2:17	909	911	58.2429
2:18	909	911	65.5233
2:19	909	911	72.8037
2:20	909	911	80.084
2:21	909	911	87.3644
2:22	909	911	94.6447
2:23	909	911	101.925
2:24	909	911	109.205
2:25	909	911	116.486
2:26	909	911	123.766
2:27	909	911	131.047
2:28	909	911	138.327
2:29	909	911	145.607
2:30	909	911	152.888
2:31	909	911	160.168
2:32	909	911	167.448
2:33	909	911	174.729
2:34	909	911	182.009
2:35	909	911	189.289
2:36	909	911	196.57
2:37	909	911	203.85
2:38	909	911	211.131
2:39	909	911	218.411
2:40	909	911	225.691
2:41	909	911	232.972
2:42	909	911	240.252
2:43	909	911	247.532
2:44	909	911	254.813
2:45	909	911	262.093
2:46	909	911	269.374
2:47	909	911	276.654
2:48	909	911	283.934
2:49	909	911	291.215
2:50	909	911	298.495
2:51	909	911	305.775
2:52	909	911	313.056
2:53	909	911	320.336
2:54	909	911	327.616
2:55	909	911	334.897
2:56	909	911	342.177
2:57	909	911	349.458
2:58	909	911	356.738
2:59	909	911	364.018
3:0	909	911	371.299
3:1	909	911	378.579
3:2	909	911	385.859
3:3	909	911	393.14
3:4	911	910	0
3:5	911	910	7.28037
3:6	911	910	14.5607
3:7	911	910	21.8411
3:8	911	910	29.1215
3:9	911	910	36.4018
3:10	911	910	43.6822
3:11	911	910	50.9626
3:12	911	910	58.2429
3:13	911	910	65.5233
3:14	911	910	72.8037
3:15	911	910	80.084
3:16	911	910	87.3644
3:17	911	910	94.6447
3:18	911	910	101.925
3:19	911	910	109.205
3:20	911	910	116.486
3:21	911	910	123.766
3:22	911	910	131.047
3:23	911	910	138.327
3:24	911	910	145.607
3:25	910	905	0
3:26	910	905	7.28037
3:27	910	905	14.5607
3:28	910	905	21.8411
3:29	910	905	29.1215
3:30	910	905	36.4018
3:31	910	905	43.6822
3:32	910	905	50.9626
3:33	910	905	58.2429
3:34	910	905	65.5233
3:35	910	905	72.8037
3:36	910	905	80.084
3:37	905	1292	0
3:38	905	1292	7.28037
3:39	905	1292	14.5607
3:40	905	1292	21.8411
3:41	905	1292	29.1215
3:42	905	1292	36.4018
3:43	905	1292	43.6822
3:44	905	1292	50.9626
3:45	905	1292	58.2429
3:46	905	1292	65.5233
3:47	905	1292	72.8037
3:48	905	1292	80.084
3:49	905	1292	87.3644
